exporte_nach_ozeanien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,10,Nahrungs- und Futtermittel,18433.002,23642.862000000001,28534.73,24497.415000000001,25236.271000000001,24950.532999999999,26216.496999999999,28930.749,26259.525000000001,18433.002,23642.862000000001,28534.73,24497.415000000001,25236.271000000001,24950.532999999999,26216.496999999999,28930.749,26259.525000000001
C,13,Textilien,134.74600000000001,295.983,118.80500000000001,151.33799999999999,174.98400000000001,145.85599999999999,153.625,153.96100000000001,182.624,134.74600000000001,295.983,118.80500000000001,151.33799999999999,174.98400000000001,145.85599999999999,153.625,153.96100000000001,182.624
C,14,Bekleidung,1041.691,911.81,1010.913,919.65800000000002,653.95899999999995,856.84500000000003,616.96799999999996,856.29499999999996,568.18200000000002,1041.691,911.81,1010.913,919.65800000000002,653.95899999999995,856.84500000000003,616.96799999999996,856.29499999999996,568.18200000000002
C,15,Leder und Lederwaren,315.61200000000002,510.98599999999999,541.44899999999996,725.20899999999995,464.87400000000002,361.45299999999997,533.08399999999995,633.63699999999994,660.23400000000004,315.61200000000002,510.98599999999999,541.44899999999996,725.20899999999995,464.87400000000002,361.45299999999997,533.08399999999995,633.63699999999994,660.23400000000004
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,3.95,37.378,4.274,72.263999999999996,0,0.99299999999999999,6.6529999999999996,2.5,2.7959999999999998,3.95,37.378,4.274,72.263999999999996,0,0.99299999999999999,6.6529999999999996,2.5,2.7959999999999998
C,17,"Papier, Pappe und Waren daraus",25.802,25.960999999999999,48.514000000000003,24.172999999999998,14.456,12.991,34.201999999999998,24.286999999999999,13.544,25.802,25.960999999999999,48.514000000000003,24.172999999999998,14.456,12.991,34.201999999999998,24.286999999999999,13.544
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,0,0,0,0,48.902000000000001,0,34.207999999999998,0,0,0,0,0,0,48.902000000000001,0,34.207999999999998,0,0
C,20,Chemische Erzeugnisse,5875.0050000000001,4956.5510000000004,5184,4259.0640000000003,5560.5460000000003,5343.558,5363.3829999999998,6011.6679999999997,4770.4380000000001,5875.0050000000001,4956.5510000000004,5184,4259.0640000000003,5560.5460000000003,5343.558,5363.3829999999998,6011.6679999999997,4770.4380000000001
C,21,Pharmazeutische Erzeugnisse,691.98,1712.306,488.93400000000003,464.84500000000003,699.56700000000001,1328.7909999999999,928.39,1207.259,1348.742,691.98,1712.306,488.93400000000003,464.84500000000003,699.56700000000001,1328.7909999999999,928.39,1207.259,1348.742
C,22,Gummi- und Kunststoffwaren,1550.8879999999999,1550.905,1532.279,1483.5630000000001,1560.4549999999999,1467.395,1444.116,915.125,1170.3309999999999,1550.8879999999999,1550.905,1532.279,1483.5630000000001,1560.4549999999999,1467.395,1444.116,915.125,1170.3309999999999
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",160.786,110.613,134.32900000000001,317.839,226.274,227.58699999999999,118.19799999999999,224.75399999999999,140.20099999999999,160.786,110.613,134.32900000000001,317.839,226.274,227.58699999999999,118.19799999999999,224.75399999999999,140.20099999999999
C,24,Metalle,200.483,355.99400000000003,309.85300000000001,284.06900000000002,165.45599999999999,80.266000000000005,148.34200000000001,116.239,317.89499999999998,965.50699999999995,355.99400000000003,309.85300000000001,284.08499999999998,190.821,81.155000000000001,6586.2780000000002,116.363,658.58500000000004
C,25,Metallerzeugnisse,1855.548,1759.163,2161.8470000000002,2896.35,4094.6,2208.9299999999998,6258.0649999999996,6036.8329999999996,3819.0909999999999,1855.548,1759.163,2161.8470000000002,2896.35,4094.6,2208.9299999999998,6258.0649999999996,6036.8329999999996,3819.0909999999999
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",28092.037,29432.096000000001,27918.861000000001,32831.883000000002,19748.751,21884.192999999999,32860.281999999999,20027.682000000001,20642.281999999999,28092.037,29432.096000000001,27918.861000000001,32831.883000000002,19748.751,21884.192999999999,32860.281999999999,20027.682000000001,20642.281999999999
C,27,Elektrische Ausrüstungen,10759.695,14095.118,13612.654,18091.235000000001,14588.61,14176.547,16079.482,16679.305,18405.3,10759.695,14095.118,13612.654,18091.235000000001,14588.61,14176.547,16079.482,16679.305,18405.3
