exporte_in_das_ubrige_europa_ohne_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",160776.64000000001,179048.56899999999,169680.66800000001,158291.59,153807.44699999999,168315.50700000001,191847.91399999999,171135.13399999999,154312.04399999999,160776.64000000001,179048.56899999999,169680.66800000001,158291.59,153807.44699999999,168315.50700000001,191847.91399999999,171135.13399999999,154312.04399999999
C,27,Elektrische Ausrüstungen,96851.073999999993,96667.900999999998,112053.41800000001,112878.777,116554.466,124147.851,100970.89,99726.055999999997,95759.692999999999,96851.073999999993,96667.900999999998,112053.41800000001,112878.777,116554.466,124147.851,100970.89,99726.055999999997,95759.692999999999
C,28,Maschinen,221354.92,228719.48699999999,249802.5,232957.86199999999,230111.17199999999,219311.32699999999,145096.152,182829.81299999999,199910.416,221354.92,228719.48699999999,249802.5,232957.86199999999,230111.17199999999,219311.32699999999,145096.152,182829.81299999999,199910.416
C,29,Kraftwagen und Kraftwagenteile,13700.378000000001,19757.616999999998,20465.973000000002,18512.839,14692.609,18680.8,14887.279,19378.650000000001,24214.686000000002,13700.378000000001,19757.616999999998,20465.973000000002,18512.839,14692.609,18680.8,14887.279,19378.650000000001,24214.686000000002
C,30,Sonstige Fahrzeuge,80917.508000000002,53223.923000000003,74257.748999999996,45552.298999999999,66565.043000000005,55581.822999999997,20946.499,15874.248,20292.115000000002,80917.508000000002,53223.923000000003,74257.748999999996,45552.298999999999,66565.043000000005,55581.822999999997,20946.499,15874.248,20292.115000000002
C,31,Möbel,1667.739,1644.816,1194.5360000000001,1397.904,766.12199999999996,938.423,1301.1300000000001,1010.603,1244.979,1667.739,1644.816,1194.5360000000001,1397.904,766.12199999999996,938.423,1301.1300000000001,1010.603,1244.979
C,32,"Waren, a.n.g.",53545.129000000001,69659.178,53969.631000000001,40668.309000000001,34335.591999999997,38082.955000000002,37637.705000000002,43837.589,30584.795999999998,60516.769,76956.774999999994,56629.474000000002,42976.17,37312.771000000001,68484.024000000005,52907.555,50860.607000000004,33687.862000000001
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",1099.1130000000001,937.39300000000003,1356.875,1770.348,1940.0250000000001,1752.59,1658.1410000000001,6357.8779999999997,7707.8450000000003,8759.68,5765.9219999999996,6063.6869999999999,6226.8469999999998,7620.9719999999998,5629.0420000000004,5586.9859999999999,8579.0010000000002,8618.39
J,58,Dienstleistungen des Verlagswesens,2607.7750000000001,1266.374,1862.0509999999999,1405.807,2388.0859999999998,6695.1229999999996,1071.432,555.649,1567.49,2607.7750000000001,1266.374,1862.0509999999999,1405.807,2388.0859999999998,6695.1229999999996,1071.432,555.649,1567.49
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",733.29300000000001,1046.46,459.10700000000003,321.35000000000002,517.94600000000003,447.85500000000002,82.087000000000003,234.536,202.779,733.29300000000001,1046.46,459.10700000000003,321.35000000000002,517.94600000000003,447.85500000000002,82.087000000000003,234.536,202.779
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,56066.209000000003,85865.5,183436.22500000001,88164.627999999997,41913.027999999998,30550.851999999999,34011.106,54021.822999999997,27764.891
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,25969.108,34795.417000000001,30043.534,24736.919000000002,11078.886,18038.77,59977.254999999997,27694.710999999999,26897.593000000001
NA,NA,Verschiedene (weitere) Güterkategorien,4.8369999999999997,212.137,5.66,161.75399999999999,22.963999999999999,177.352,121.143,172.42099999999999,118.49299999999999,4.8369999999999997,212.137,6.53,161.75399999999999,22.963999999999999,180.23099999999999,121.143,172.42099999999999,118.49299999999999
