importe_aus_afrika_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,80101.923999999999,82356.085000000006,75371.021999999997,71028.240000000005,66533.816000000006,80999.266000000003,79863.107000000004,75666.334000000003,95388.452000000005,80101.923999999999,82356.085000000006,75371.021999999997,71028.240000000005,66533.816000000006,80999.266000000003,79863.107000000004,75666.334000000003,95388.452000000005
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,109.05800000000001,80.313999999999993,86.052000000000007,51.651000000000003,70.875,88.929000000000002,33.908999999999999,24.34,22.451000000000001,109.05800000000001,80.313999999999993,86.052000000000007,51.651000000000003,70.875,88.929000000000002,33.908999999999999,24.34,22.451000000000001
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,25.286999999999999,12.95,9.6370000000000005,3.0270000000000001,4.4109999999999996,19.145,68.813000000000002,20.638000000000002,150.25200000000001,58.823999999999998,25.178999999999998,22.352,55.414000000000001,24.099,51.572000000000003,190.72800000000001,40.509,179.71799999999999
C,10,Nahrungs- und Futtermittel,10797.728999999999,18429.286,14718.427,14082.078,12734.989,11009.4,15661.078,21313.936000000002,22747.121999999999,10797.728999999999,18429.286,14718.427,14082.078,12734.989,11009.4,15661.078,21313.936000000002,22747.121999999999
C,11,Getränke,3061.2809999999999,2851.9580000000001,3261.9180000000001,3521.3820000000001,4630.7209999999995,5477.2659999999996,4906.7950000000001,3228.57,2979.4450000000002,3061.2809999999999,2851.9580000000001,3261.9180000000001,3521.3820000000001,4630.7209999999995,5477.2659999999996,4906.7950000000001,3228.57,2979.4450000000002
C,13,Textilien,1406.2750000000001,1719.067,1675.653,1082.5550000000001,1984.682,2324.7559999999999,2540.9989999999998,5975.2449999999999,7092.7349999999997,1406.2750000000001,1719.067,1675.653,1082.5550000000001,1984.682,2324.7559999999999,2540.9989999999998,5975.2449999999999,7092.7349999999997
C,14,Bekleidung,48870.218000000001,51552.847000000002,51694.241999999998,51946.326999999997,49729.675999999999,55886.341,61676.824000000001,63601.040999999997,66656.316000000006,48870.218000000001,51552.847000000002,51694.241999999998,51946.326999999997,49729.675999999999,55886.341,61676.824000000001,63601.040999999997,66656.316000000006
C,15,Leder und Lederwaren,3280.8110000000001,3307.5360000000001,3766.4789999999998,2853.0810000000001,2610.0970000000002,2608.0639999999999,2889.4549999999999,2615.0219999999999,2659.4349999999999,3280.8110000000001,3307.5360000000001,3766.4789999999998,2853.0810000000001,2610.0970000000002,2608.0639999999999,2889.4549999999999,2615.0219999999999,2659.4349999999999
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,227.02500000000001,272.34699999999998,373.63400000000001,295.46100000000001,225.42400000000001,469.47399999999999,244.26900000000001,285.83300000000003,438.76900000000001,227.02500000000001,272.34699999999998,373.63400000000001,295.46100000000001,225.42400000000001,469.47399999999999,244.26900000000001,285.83300000000003,438.76900000000001
C,17,"Papier, Pappe und Waren daraus",52.354999999999997,107.831,29.390999999999998,27.300999999999998,88.804000000000002,81.341999999999999,73.837000000000003,84.593999999999994,55.384999999999998,52.354999999999997,107.831,29.390999999999998,27.300999999999998,88.804000000000002,81.341999999999999,73.837000000000003,84.593999999999994,55.384999999999998
C,20,Chemische Erzeugnisse,2534.44,2789.3870000000002,6664.03,4812.9780000000001,5701.2979999999998,5797.0879999999997,6097.1229999999996,5729.9040000000005,5270.1260000000002,2534.44,2789.3870000000002,6677.55,4812.9780000000001,5701.2979999999998,5797.0879999999997,6097.1229999999996,5729.9040000000005,5270.1260000000002
C,21,Pharmazeutische Erzeugnisse,217.892,0,42.22,43.856000000000002,219.90199999999999,114.703,133.83500000000001,253.16200000000001,383.42599999999999,217.892,0,42.22,43.856000000000002,219.90199999999999,114.703,133.83500000000001,253.16200000000001,383.42599999999999
C,22,Gummi- und Kunststoffwaren,617.73299999999995,822.71400000000006,861.77099999999996,1761.095,1976.7850000000001,10946.991,16463.212,11370.14,12452.441999999999,617.73299999999995,822.71400000000006,861.77099999999996,1761.095,1976.7850000000001,10946.991,16463.212,11370.14,12452.441999999999
