exporte_in_die_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,28,Maschinen,1333067.2609999999,1274998.05,1423724.6510000001,1328853.693,1129375.4069999999,1260054.665,1351760.666,1352045.5160000001,1340170.3289999999,1333067.2609999999,1274998.05,1423724.6510000001,1328853.693,1129375.4069999999,1260054.665,1351760.666,1352045.5160000001,1340170.3289999999
C,29,Kraftwagen und Kraftwagenteile,253373.016,240555.75599999999,226145.655,228189.25399999999,186960.80600000001,213841.446,205172.033,219544.66500000001,249526.204,253373.016,240555.75599999999,226145.655,228189.25399999999,186960.80600000001,213841.446,205172.033,219544.66500000001,249526.204
C,30,Sonstige Fahrzeuge,282579.98599999998,631103.86100000003,304408.06900000002,513293.08100000001,289163.51699999999,295060.07699999999,365862.196,443921.696,356444.57299999997,282579.98599999998,631103.86100000003,304408.06900000002,513293.08100000001,289163.51699999999,295060.07699999999,365862.196,443921.696,356444.57299999997
C,31,Möbel,38455.775999999998,43499.019,52209.106,38363.955999999998,25416.210999999999,30459.463,39590.641000000003,32806.845999999998,37940.366000000002,38455.775999999998,43499.019,52209.106,38363.955999999998,25416.210999999999,30459.463,39590.641000000003,32806.845999999998,37940.366000000002
C,32,"Waren, a.n.g.",427540.77399999998,566248.74,582038.51300000004,577177.90399999998,573724.41099999996,737180.53799999994,901146.10900000005,847984.43200000003,733377.66599999997,491181.22700000001,614156.97400000005,621173.09199999995,622217.853,619397.62600000005,788261.42599999998,956605.804,897752.54500000004,753812.10499999998
D,35,Energie und Dienstleistungen der Energieversorgung,0,20865.498,29931.651000000002,29047.073,27200.023000000001,72445.403999999995,86301.785999999993,47218.673999999999,26838.06,0,20865.498,29931.651000000002,29047.073,27200.023000000001,72445.403999999995,86301.785999999993,47218.673999999999,26838.06
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",139655.45600000001,184294.508,195121.87599999999,173285.15,167754.397,281646.45899999997,306785.45199999999,281416.53100000002,299778.19699999999,150501.36799999999,198182.96599999999,211008.30100000001,197388.02600000001,199998.21299999999,302919.99,322306.20400000003,300639.092,311765.78000000003
J,58,Dienstleistungen des Verlagswesens,42716.135000000002,36424.086000000003,23470.649000000001,249459.356,23262.159,28005,20241.481,17401.23,16010.268,42716.135000000002,36424.086000000003,23470.649000000001,249459.356,23262.159,28005,20241.481,17401.23,16010.268
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",6692.9520000000002,10229.871999999999,8563.6990000000005,6019.4669999999996,3674.1489999999999,5520.9430000000002,2338.8890000000001,1764.895,1187.681,6692.9520000000002,10229.871999999999,8563.6990000000005,6019.4669999999996,3674.1489999999999,5520.9430000000002,2338.8890000000001,1764.895,1187.681
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",2102.7429999999999,2010.1389999999999,2515.2890000000002,1910.952,0,1512.268,0,0,0,2102.7429999999999,2010.1389999999999,2515.2890000000002,1910.952,0,1512.268,0,0,0
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,108260.66499999999,57571.682999999997,505542.39899999998,104297.52099999999,42481.256000000001,76002.138000000006,79286.608999999997,58407.77,37087.792000000001
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,20600.424999999999,19487.597000000002,24169.936000000002,16674.879000000001,15578.017,21715.453000000001,31386.973000000002,19346.027999999998,22010.120999999999
NA,NA,Verschiedene (weitere) Güterkategorien,257158.78899999999,42.784999999999997,61.764000000000003,69.033000000000001,2726.8519999999999,62.515999999999998,17.515999999999998,39.052999999999997,78.896000000000001,257158.78899999999,42.784999999999997,77.343999999999994,74.349999999999994,2726.8519999999999,62.515999999999998,17.515999999999998,39.052999999999997,78.896000000000001
